Max Plume Concentration (ppm m),UTC Time Observed,Latitude of max concentration,Longitude of max concentration,Concentration Uncertainty (ppm m)
1868.0,2023-02-27T15:57:14Z,9.729767705622658,-73.50721446229474,480.0
2992.0,2023-03-11T12:59:54Z,-29.836397064964128,-64.40692607483214,712.0
1136.0,2023-03-18T04:52:50Z,-32.0226785866378,141.42453861448502,415.0
2456.0,2023-03-24T09:49:19Z,26.756953306713182,83.22129989016632,719.0
3037.0,2023-03-24T09:49:19Z,27.76767472447105,83.49566954541605,866.0
3046.0,2023-03-25T12:11:18Z,35.462496419429065,51.330436443808345,689.0
2118.0,2023-03-25T12:11:18Z,35.48472795275958,51.296818027552455,536.0
865.0,2023-03-25T13:41:23Z,28.172722417102506,19.143514041390386,250.0
960.0,2023-03-25T13:41:23Z,28.09897879434764,19.252502777961915,238.0
1639.0,2023-03-25T13:41:23Z,28.205798600838143,19.915110917715193,251.0
1892.0,2023-03-25T13:41:23Z,28.708990379636052,19.851127480324944,373.0
4399.0,2023-03-25T15:17:28Z,36.81428209242826,5.877795433318367,974.0
2956.0,2023-03-26T08:19:55Z,39.090574212464425,109.48433200878345,715.0
2080.0,2023-03-26T11:25:09Z,37.4774324647018,61.0260961385124,485.0
1285.0,2023-03-26T14:30:19Z,35.76451993321195,10.45857576444415,442.0
3040.0,2023-03-27T07:33:31Z,40.54538406431225,117.74741338496996,605.0
4746.0,2023-03-30T09:49:34Z,37.476890232181475,61.02609613851246,596.0
3020.0,2023-03-30T09:49:34Z,39.59593492134336,64.58368370391447,517.0
4070.0,2023-03-30T09:49:34Z,40.08448642209434,65.1264584566911,1128.0
1439.0,2023-03-30T12:52:50Z,31.593667387399986,5.9244274300604,313.0
1339.0,2023-03-30T12:52:50Z,31.765555096321254,5.944490033309886,247.0
2886.0,2023-03-30T12:52:50Z,31.77694197924664,5.996544355254497,300.0
788.0,2023-03-30T12:52:50Z,31.69614933372844,5.967263799160653,263.0
817.0,2023-03-30T12:52:50Z,31.782364304449203,6.215064060917813,218.0
3030.0,2023-03-31T07:23:49Z,21.112855003364594,72.81043550124409,493.0
2328.0,2023-03-31T19:49:37Z,28.988782360088365,-108.53760420093703,654.0
2778.0,2023-04-03T08:10:31Z,24.61242368909924,46.899312288273286,1053.0
12927.0,2023-04-03T08:12:19Z,30.06294498271626,51.547329451910855,905.0
2217.0,2023-04-03T08:12:19Z,30.00329940548806,51.5641386600388,455.0
1923.0,2023-04-03T08:14:57Z,36.24114231851721,59.98663639718096,402.0
1459.0,2023-04-03T09:45:15Z,30.753206981002574,29.409602347404178,311.0
1229.0,2023-04-03T11:18:37Z,31.697776031289195,5.969432729241685,254.0
1401.0,2023-04-03T11:18:37Z,31.594751852440485,5.926596360141432,314.0
1257.0,2023-04-03T11:18:37Z,31.489558743510752,5.851226039825797,216.0
3155.0,2023-04-03T11:18:37Z,31.775857514206113,5.998713285335529,395.0
1182.0,2023-04-04T08:58:44Z,31.13276974518204,35.20227236130289,331.0
2169.0,2023-04-04T08:58:44Z,31.938527270283,36.18208652540615,351.0
2203.0,2023-04-04T08:58:44Z,35.30633345359529,40.43806957689837,411.0
2298.0,2023-04-04T08:58:44Z,35.349712055215804,40.36974827934607,476.0
1813.0,2023-04-04T08:58:44Z,35.383872703991955,40.43752734437811,390.0
2008.0,2023-04-04T08:58:44Z,35.3833304714717,40.36703711674478,400.0
890.0,2023-04-04T08:58:44Z,35.239096621083505,40.640322306954,321.0
2315.0,2023-04-04T08:58:44Z,36.13974483722933,41.08712190364524,498.0
2356.0,2023-04-04T08:58:44Z,36.16197637055984,41.0876641361655,359.0
1079.0,2023-04-05T06:35:43Z,21.876860624405797,55.984960397688944,345.0
834.0,2023-04-05T06:35:43Z,21.888789739851436,55.967066724520485,273.0
1339.0,2023-04-05T06:35:43Z,21.946266386998612,56.0364724871133,345.0
925.0,2023-04-05T06:35:43Z,21.943012991877072,56.016409883863815,317.0
1631.0,2023-04-05T08:12:46Z,33.80001151232309,44.120370621959374,470.0
1645.0,2023-04-05T08:12:46Z,33.558718040809005,44.246710799179105,486.0
2679.0,2023-04-13T09:57:29Z,48.24345915439197,57.358977604018634,512.0
3516.0,2023-04-16T12:22:03Z,31.61589892073042,35.23209514991708,534.0
2638.0,2023-04-16T21:37:35Z,35.303622290994,-111.09368830142596,774.0
2165.0,2023-04-17T09:58:36Z,39.51676897338593,53.57582131018989,493.0
5986.0,2023-04-17T09:58:36Z,39.5010442302985,53.58883489067604,967.0
8662.0,2023-04-17T09:58:36Z,39.46200348884004,53.775362877644234,984.0
3940.0,2023-04-17T09:58:36Z,39.46254572136029,53.62353777197245,459.0
2777.0,2023-04-17T09:58:36Z,39.37524628559902,53.8317550597509,580.0
3736.0,2023-04-17T09:58:36Z,39.35952154251159,53.76506045975936,686.0
1929.0,2023-04-17T09:58:36Z,39.33512107910005,54.0193675117596,331.0
3435.0,2023-04-18T06:06:02Z,39.11117904823422,108.44053440728956,437.0
2045.0,2023-04-18T06:06:02Z,37.52786008908563,110.80521042812757,426.0
2777.0,2023-04-18T06:06:02Z,37.43839172324333,110.84804679722782,400.0
1600.0,2023-04-18T06:06:02Z,37.42971600291923,110.87298949315962,477.0
3703.0,2023-04-18T06:06:02Z,37.483397022424604,110.85238465738988,448.0
1804.0,2023-04-18T09:11:52Z,38.412783562144035,61.65671255957056,317.0
3034.0,2023-04-18T09:11:52Z,37.95513931504766,63.5078943837258,361.0
2024.0,2023-04-18T20:01:18Z,39.85729099610696,-104.75607460466932,438.0
3735.0,2023-04-19T08:23:52Z,39.915309875774355,65.90401989073865,645.0
2057.0,2023-04-19T13:06:50Z,28.9150387373335,9.748793395428569,489.0
1021.0,2023-04-19T13:06:50Z,28.927510085299396,9.756384650712159,296.0
3002.0,2023-04-20T06:01:48Z,44.03193916956072,87.85738793835824,565.0
1427.0,2023-04-20T10:45:34Z,31.928767084918363,36.223296196945725,298.0
1278.0,2023-04-21T08:23:29Z,36.24981803884135,59.95301798092506,309.0
7427.0,2023-04-21T08:23:29Z,27.96721629192534,69.81188966422633,577.0
3369.0,2023-04-21T10:00:17Z,25.603082503607563,48.88930563761412,347.0
1078.0,2023-04-21T19:14:23Z,33.81085616272821,-101.92616308145145,283.0
2008.0,2023-04-22T07:34:37Z,40.05086800583852,61.043447579160635,341.0
4233.0,2023-04-22T09:10:58Z,31.136565372823803,49.36972365056135,834.0
1972.0,2023-04-22T09:10:58Z,30.715250704584605,49.83279022286028,314.0
3005.0,2023-04-23T05:15:16Z,37.40097767934562,94.4726246854859,518.0
1071.0,2023-04-23T05:15:16Z,37.30825591838178,94.26657632778847,357.0
988.0,2023-04-23T05:15:16Z,37.36356363544793,94.15270749853464,303.0
4893.0,2023-04-23T06:44:21Z,45.34088847345963,55.19275868559448,322.0
4076.0,2023-04-23T08:22:23Z,33.859657089551305,51.70728804538647,655.0
5128.0,2023-04-23T10:01:36Z,15.563647391061007,45.79858027215286,263.0
1900.0,2023-04-23T11:26:19Z,37.98008201097942,-1.2867228568290074,396.0
1559.0,2023-04-23T11:29:08Z,31.013478590725605,7.964306171264863,290.0
3273.0,2023-04-23T19:12:32Z,33.0793844929024,-112.28768431102988,695.0
2396.0,2023-04-24T04:24:44Z,44.030854704520245,87.86335249608102,456.0
2660.0,2023-04-24T06:08:59Z,14.055698752228011,99.96272895308161,554.0
1679.0,2023-04-24T09:08:18Z,31.912500109310677,36.20160689613548,387.0
3949.0,2023-04-24T16:49:49Z,38.82704920761984,-90.01873693662141,741.0
2146.0,2023-04-25T03:40:28Z,36.39947421443213,107.73020980575379,398.0
4277.0,2023-04-25T03:40:28Z,36.08443712016319,107.6553817179584,595.0
4265.0,2023-04-25T03:40:28Z,36.17607441608651,107.76382822200968,651.0
2666.0,2023-04-25T03:40:28Z,36.15058948763446,108.01921973905043,500.0
3637.0,2023-04-25T03:40:28Z,36.14408269739138,108.03928234229991,485.0
2000.0,2023-04-25T03:40:28Z,36.29807673314419,107.84028300736583,596.0
1678.0,2023-04-25T03:40:28Z,36.27909859493522,107.79419324314404,542.0
1239.0,2023-04-25T05:12:16Z,38.77499488567529,80.08068913284139,175.0
1515.0,2023-04-25T08:19:23Z,35.13281904711321,38.396021905612955,275.0
2869.0,2023-04-26T02:53:02Z,36.225417575429866,114.04884536430126,565.0
5011.0,2023-04-26T05:57:03Z,40.049241308277736,61.04182088159982,170.0
2009.0,2023-04-26T05:57:03Z,39.977666615603894,61.67623293029977,142.0
3471.0,2023-04-26T07:31:30Z,36.18583460145114,43.884499475647836,419.0
1319.0,2023-04-26T18:22:39Z,32.39996714502112,-116.73019534949081,361.0
1332.0,2023-04-26T18:22:39Z,32.378820076731124,-116.95467961287694,402.0
3156.0,2023-04-27T06:44:04Z,35.781329141339846,50.80338643411909,740.0
4145.0,2023-04-27T06:44:04Z,35.45924302430756,51.32989421128802,754.0
1623.0,2023-04-27T06:44:04Z,35.47876339503679,51.29464909747136,491.0
1658.0,2023-04-27T17:36:30Z,28.699772426791714,-106.0417079101966,375.0
3855.0,2023-04-28T02:49:00Z,39.79168086115593,97.8897740281415,432.0
2852.0,2023-04-28T05:55:24Z,38.03376303048483,53.92989914591739,1044.0
1864.0,2023-04-28T05:55:24Z,37.4861081850259,54.05027476541431,333.0
1573.0,2023-04-28T05:55:24Z,37.70950798337152,53.93965933128201,305.0
4242.0,2023-04-28T05:55:24Z,37.73661960938434,53.932068075998416,363.0
5622.0,2023-04-28T05:55:24Z,37.77023802564023,53.91797003047175,490.0
7999.0,2023-04-28T05:55:24Z,37.91176071342714,53.90549868250586,1029.0
1061.0,2023-04-28T09:03:09Z,32.29585850113195,13.081896697444511,369.0
1290.0,2023-04-28T09:03:09Z,32.601677642556545,13.335119284404236,295.0
6692.0,2023-04-29T05:08:11Z,36.40218537703338,61.395898717327256,254.0
3949.0,2023-04-29T05:08:11Z,36.427670305485435,61.478318060406224,280.0
5856.0,2023-04-29T05:08:11Z,36.47104890710594,61.45988215471751,289.0
3423.0,2023-04-29T05:08:11Z,36.57407308595465,61.48265592056828,255.0
